,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S,GLC_BATCH_mu=0.6_H,FUM_BATCH_mu=0.55_H,PERSIST@8H_mu=0.02_H,STARVED@8H_mu=-0.005_H
b4595,,,,,,,,,,,,,,,,,,,,,,,,,,,37.652236254418604,350.1512957188288,87.76858205590163,98.27253360771739
b4596,4.866197183098592,2.6736596736596736,,3.956521739130435,3.1889763779527556,7.007633587786259,3.1174242424242427,9.959999999999999,2.386617100371747,28.12916666666667,11.673076923076923,1.573684210526316,0.09999999999999999,4.3125,1.8028673835125448,1.0268456375838926,0.6177474402730375,,,1.5158371040723984,3.251937984496124,,,,,,,,,
b4606,0.6514084507042254,0.3356643356643356,,0.6260869565217392,2.0551181102362204,0.782442748091603,3.4507575757575752,1.956,0.029739776951672865,6.129166666666667,0.04807692307692308,0.21578947368421053,0.13749999999999998,0.10625,0.0,0.026845637583892617,0.0,,,0.03619909502262444,0.0,,,,,,,,,
b1107,46.08802816901408,45.95804195804196,36.09138381201044,35.14782608695653,36.59448818897638,33.274809160305345,39.553030303030305,37.684,29.76208178438662,26.35,24.620192307692307,20.27368421052632,27.400000000000002,23.40625,45.77777777777778,41.04026845637584,42.02389078498293,47.41935483870968,32.51136363636363,40.244343891402714,37.45348837209302,37.16554054054054,46.08983451536643,39.00333333333334,58.38302752293578,51.11864406779661,95.36382483665116,171.75079975423424,242.72918410065574,186.56158264717394
b2029,4964.915492957747,4052.7622377622374,4199.2088772845955,2391.830434782609,2655.566929133858,3221.507633587786,3155.85606060606,2800.848,3053.0334572490706,2168.7291666666665,1882.014423076923,1554.0210526315789,3415.5374999999995,4260.2,3636.1182795698924,5486.298657718121,4980.529010238908,4478.885304659499,2759.5719696969695,2172.20814479638,3110.1744186046512,3485.77027027027,3613.5059101654842,4209.176666666667,1900.369266055046,1913.3474576271187,2567.760334982233,2950.032058648468,8030.1938086065575,3980.416030859565
b4154,12.869718309859154,95.1118881118881,63.268929503916446,45.791304347826085,87.1259842519685,20.69465648854962,23.193181818181817,25.695999999999998,31.88104089219331,41.86666666666667,45.24038461538461,62.910526315789475,11.26875,13.799999999999999,14.634408602150536,19.63422818791946,11.83617747440273,19.8673835125448,30.053030303030305,29.04524886877828,85.87209302325581,22.104729729729733,98.6690307328605,12.31,42.2591743119266,12.502824858757062,52.2986312415814,939.7223763444143,837.028339344754,1117.0393791057606
b1761,2233.419014084507,264.98135198135196,626.8537859007832,1586.930434782609,1220.5826771653544,1929.9580152671754,1572.5681818181818,1510.3600000000001,2993.64312267658,2442.3,1938.4471153846152,1346.7473684210527,397.81874999999997,424.90625,1780.168458781362,841.8422818791946,2026.1638225255972,1941.799283154122,1604.530303030303,1088.4841628959277,1364.3255813953488,2089.1959459459463,163.06382978723403,2010.5833333333333,179.17660550458714,2269.954802259887,2676.2240901421856,2440.692281857567,1082.0381180027869,1975.5928042541304
b1109,233.26760563380284,273.3030303030303,201.7728459530026,102.45652173913045,119.73622047244095,166.67557251908397,168.13636363636363,224.348,243.089219330855,138.1125,160.58653846153845,188.88947368421051,439.24375,498.5125,335.21505376344084,386.8120805369128,301.9215017064846,535.9390681003584,137.875,165.19909502262442,159.515503875969,382.2668918918919,220.29550827423165,166.04,271.6605504587156,239.1271186440678,533.5787115527907,621.5076463674774,2286.6135698637704,896.6401095786956
b3908,7626.799295774648,6312.876456876457,8803.38903394256,10701.913043478262,11907.870078740158,9425.526717557252,9589.795454545454,9040.864,8746.509293680298,8603.987500000001,8330.158653846152,8277.715789473685,11379.887499999999,11731.58125,11875.390681003582,6587.755033557047,10789.658703071673,9577.222222222223,11592.700757575756,11629.615384615385,11101.755813953487,9627.881756756757,6402.841607565011,7841.95,6574.51376146789,4857.9180790960445,3278.4019892231163,8603.873765241171,13110.98919129295,10076.27767459913
b3417,96.64436619718312,103.07226107226107,90.8172323759791,68.06956521739131,87.76377952755905,117.06870229007635,103.84848484848486,88.7,209.81412639405204,186.12083333333334,162.76923076923077,116.11578947368422,78.76875,80.22500000000001,48.68458781362008,72.40604026845638,99.518771331058,81.06451612903226,150.5340909090909,80.1945701357466,92.04263565891472,148.2939189189189,65.10874704491725,72.43333333333334,13.997706422018348,19.757062146892654,283.0695792803721,438.19044790549543,1112.7469624586886,526.7031863793478
b0928,2459.440140845071,966.1934731934732,1457.817232375979,3414.2217391304353,3379.708661417322,3473.8778625954196,3295.715909090909,3287.2239999999997,2944.8624535315985,2784.691666666667,2085.3846153846157,1638.1947368421054,1890.56875,1787.3625,2775.720430107527,2496.2449664429532,3400.6621160409554,3578.3942652329747,3274.121212121212,3030.891402714932,3845.085271317829,3098.4594594594596,847.6879432624112,2512.5366666666664,986.243119266055,2683.562146892655,1820.5681782264185,4340.440579593153,3629.903353135246,5015.1259926960865
b0003,209.18661971830988,102.92773892773893,77.8355091383812,165.36956521739134,178.58661417322836,263.19083969465646,167.5,336.53200000000004,121.37918215613382,86.85000000000001,84.63461538461537,79.69473684210526,315.3125,199.90625,545.3118279569893,195.56711409395973,284.82935153583617,420.09318996415766,87.61363636363636,137.97285067873304,155.22868217054264,240.61486486486487,58.13711583924349,281.2766666666667,45.27064220183486,234.66949152542372,425.2064647835814,596.602501382072,878.204463095082,763.5999701918478
b3599,200.67253521126761,379.0979020979021,420.5718015665796,353.1826086956522,459.74015748031496,433.6984732824427,490.2689393939394,219.164,616.9442379182155,740.2958333333333,1086.3509615384617,1215.0789473684213,702.9499999999999,895.05,152.51971326164875,298.0570469798658,261.3003412969283,297.7168458781362,610.469696969697,550.552036199095,434.422480620155,342.5743243243243,132.65484633569739,77.89999999999999,84.38302752293578,99.28531073446328,252.20355454786048,860.7502366518918,5132.295391374918,2131.1171532684784
b0002,2008.1901408450706,503.4755244755244,461.8328981723237,916.7347826086956,1347.5669291338584,1990.3167938931297,1772.5113636363637,4072.576,2951.014869888476,1364.5916666666667,983.0673076923076,770.7578947368422,1606.6499999999999,1748.6625,2300.0967741935483,1514.1174496644294,1802.9249146757677,3334.523297491039,1662.2348484848485,938.1764705882352,1478.8682170542636,3257.1689189189187,321.6312056737588,1458.4266666666665,289.0366972477064,2132.3107344632767,2319.704873537256,3032.3378862668465,5415.35207232459,3863.2725608686956
b3940,120.89788732394368,53.226107226107224,44.375979112271544,78.96521739130435,50.35826771653543,73.6297709923664,80.94696969696969,68.432,121.24163568773234,71.17916666666667,86.72115384615384,85.01578947368421,66.225,59.14375,78.3189964157706,159.1778523489933,120.81569965870307,94.87813620071684,82.54166666666666,74.55656108597286,68.43798449612403,131.7331081081081,22.41371158392435,73.36666666666666,38.33715596330275,123.05649717514125,303.98440682544185,288.0439585135135,515.938180204918,288.33576109434784
b3067,228.17605633802816,386.2074592074592,254.5143603133159,189.26956521739132,236.9803149606299,237.53435114503816,223.93939393939394,240.68,274.1189591078067,232.13750000000002,237.45192307692307,273.2105263157895,287.9125,285.63124999999997,195.74551971326164,317.76510067114094,244.938566552901,249.3010752688172,188.78787878787878,168.50226244343892,218.5658914728682,205.50675675675674,425.1182033096926,222.54666666666665,467.83715596330273,309.5282485875706,474.4341076794419,811.4111517538738,2581.874944737869,1400.5383413761956
b3863,154.84154929577466,212.64102564102564,154.73107049608356,152.90869565217392,175.3779527559055,168.72137404580153,167.70454545454544,192.904,170.97026022304834,165.92083333333332,173.21153846153845,178.7263157894737,127.32499999999999,139.0375,99.5663082437276,131.7046979865772,123.41638225255973,149.50896057347668,144.1439393939394,149.05429864253395,147.17441860465115,142.90540540540542,147.25531914893614,109.0,172.6628440366972,122.48870056497175,260.16176407539535,539.7696344388288,1065.6867045654099,682.4734796123912
b2568,51.70422535211268,59.91841491841492,51.8355091383812,35.547826086956526,47.45275590551181,53.309160305343504,51.678030303030305,52.552,50.31598513011152,47.31666666666667,47.39423076923077,53.731578947368426,48.94375,38.231249999999996,36.623655913978496,56.674496644295296,42.0716723549488,52.73118279569893,48.78787878787879,45.262443438914026,42.18217054263566,50.0777027027027,30.42553191489361,25.576666666666668,47.55733944954128,47.110169491525426,165.46226604897674,325.6624357782883,649.0552429501639,419.5195404485869
