,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
b4596,19.624399999999998,24.6605,,10.464999999999998,10.286999999999999,24.0516,10.863600000000002,31.125,8.667,81.012,25.2512,2.8405,0.25920000000000004,11.178,7.042,4.5594,2.6607,,,3.7185000000000006,10.8231,,,,,
b4606,2.627,3.0959999999999996,,1.656,6.6293999999999995,2.6854999999999998,12.0252,6.1125,0.10800000000000001,17.652,0.10400000000000001,0.38949999999999996,0.35640000000000005,0.27540000000000003,0.0,0.1192,0.0,,,0.0888,0.0,,,,,
b1107,185.86379999999997,423.89399999999995,265.4016,92.966,118.04650000000001,114.20580000000001,137.83440000000002,117.76249999999999,108.08100000000002,75.888,53.2584,36.594,71.02080000000001,60.66900000000001,178.808,182.227,181.00109999999998,185.22,113.29560000000001,98.72340000000001,124.6527,162.81480000000002,413.31520000000006,175.51500000000001,554.9190000000001,320.29920000000004
b2029,20022.5112,37380.6525,30879.302399999997,6326.3915,8566.327800000001,11056.8585,10997.527199999999,8752.65,11087.091,6245.94,4071.1736,2805.008,8853.0732,11042.438400000001,14202.678,24360.2633,21451.6365,17494.525999999998,9616.556400000001,5328.643800000001,10351.282500000001,15270.462399999999,32404.4756,18941.295000000002,18062.629800000002,11988.6525
b4154,51.900999999999996,877.2644999999999,465.2544,121.11799999999998,281.05100000000004,71.0282,80.8236,80.3,115.77600000000001,120.576,97.864,113.5535,29.208600000000004,35.7696,57.16199999999999,87.1799,50.9796,77.60199999999999,104.7288,71.2509,285.7995,96.83640000000001,884.8244000000001,55.394999999999996,401.665,78.3402
b1761,9006.9322,2444.0555,4609.632,4197.431,3937.3556000000003,6624.0019,5480.0856,4719.875,10871.415,7033.8240000000005,4193.2488,2430.879,1031.1462000000001,1101.3570000000002,6953.338,3737.9481,8726.8902,7584.668,5591.4672,2670.1605000000004,4540.7484,9152.349600000001,1462.2912000000001,9047.625,1703.0378000000003,14223.0828
b1109,940.7216,2520.8105,1483.7567999999999,270.9975,386.2451,572.0639,585.9216,701.0875,882.7785,397.764,347.38079999999997,340.9455,1138.5198,1292.1444000000001,1309.35,1717.5230000000001,1300.4061,2093.3779999999997,480.46680000000003,405.2499,530.8995,1674.6348,1975.5220000000002,747.1800000000001,2582.0792,1498.3227
b3908,30757.3562,58226.816,64736.6016,28306.559999999998,38412.4073,32350.292800000003,33418.5192,28252.7,31762.948500000002,24779.484,18019.7992,14941.277,29496.668400000002,30408.2586,46385.27599999999,29250.949899999996,46472.139,37408.63,40398.2436,28528.609500000002,36948.8637,42177.8244,57418.1224,35288.774999999994,62489.43840000001,30438.7431
b3417,389.7474,950.687,667.8335999999999,180.04399999999998,283.10839999999996,401.80320000000006,361.8912,277.1875,761.94,536.028,352.1024,209.589,204.16860000000003,207.94320000000005,190.162,321.4973,428.6373,316.638,524.5812000000001,196.7253,306.3363,649.646,583.8692000000001,325.95000000000005,133.0454,123.79379999999999
b0928,9918.4302,8911.6855,10720.2048,9030.6165,10902.2642,11923.043599999999,11484.910800000001,10272.574999999999,10694.268000000002,8019.912,4511.104,2956.9415,4900.3542,4632.843600000001,10841.964,11083.8269,14646.9918,13977.207999999999,11409.6576,7435.079700000001,12797.2128,13573.7312,7601.7264,11306.414999999999,9374.0436,16814.6637
