,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.58_S,GLC_BATCH_mu=0.6_H,GLC+AA_CHEM_mu=0.63_P,GLC@pH6_BATCH_mu=0.63_S,GLC+AA_CHEM_mu=0.65_P,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S
b0002,4164.4368,4532.533200000002,3269.8738955192644,2015.05250611198,1283.92,1391.2179999999998,2126.5712,2678.8649707078,1682.15,2699.9860296967,1472.6478174930999,1655.3308529945002,1736.1868719027,3132.1105721902004,2301.4407,2424.7635,3488.8810754078004,2003.18,2379.8781228045,3930.0240000000003,4021.7057474852004,12726.8,3023.58,4547.327733345,2772.4522011203003,4346.9814000000015,4921.969200000001,2861.0614646390004,5126.8949789738,6831.1653000000015,6176.847600000001,5792.556000000001,3016.75,10716.6105,5470.0723681743,5651.2138851407,3246.6808518048997,3178.6951242307,8984.178,13024.648000000001,3736.1435096693817,8098.6292,10722.835777925964,3393.6672532137,7765.377899999998,3412.5586255306,14269.0056,6722.984299999999,6562.92,3448.2972493313,3387.9297071703004,3628.8321427544,3476.8087775744,13360.6326,3396.1344,2884.26,4643.8065,2747.236000000001
b0003,817.2900000000002,518.1569999999999,646.31101477038,326.77988071768,153.6,143.849,183.0816,483.05504216580005,200.23,516.4583669945999,295.9107401438,452.1838631882,378.77158897190003,554.7553147368,338.4612,437.4025,605.6666574296,239.37,417.37504219379997,250.128,776.6009196502999,1051.6625,380.01,808.6377696475,553.2666580771,576.0847,516.6321,531.8596291273001,847.816827485,903.3236,583.7040000000002,305.3160000000001,389.07,440.7885,1003.8662795248,890.6624105842,657.6211874337,593.6190889208,2129.988,1640.8839999999998,735.0739419528511,843.6078,1965.5168834621052,703.7071009350999,1226.7885,644.4516813289,1054.0856,868.3571,1265.745,705.6320209633,670.8395436778,758.5278278507001,652.0182838009999,1470.3921,572.3712,521.3504,949.354,430.2884
b0004,8073.594,8670.24,3291.363453293872,2190.7339118191603,3232.54,2841.925,3560.1072,4480.0565577454,4049.7,4463.8025540106,3198.9513587865004,3763.2305908295,3487.4840166159,4856.2547149327,5189.9826,6441.241999999998,5271.3733133654,3877.28,4028.3053274141,6112.356,5820.563891885799,24545.3875,4934.6,6219.8714082530005,4814.709894725301,11261.7758,13050.93,4556.3515695087,6908.686420045799,11806.9907,14664.078000000001,12067.4004,5554.55,11838.231000000002,7689.8781914828005,7523.2888847198,5182.4492238565,4974.289816188,24531.136,23764.51,3661.4043346388453,20744.141,9967.07084813048,5380.084979522,14028.8274,5238.6857655932,21469.7088,11108.5907,20514.51,5407.442318872,5176.7344182933,5723.264868336801,4681.2549638171,25286.1669,6638.4576,7969.143600000001,7528.139,3082.7816
b0006,173.42100000000005,144.27720000000005,203.29843791354003,95.735683172416,58.55,173.6885,301.7456,177.4009533148,72.61,,162.1210052703,,240.8796205082,219.4827637015,429.3924,496.2365,,84.15,200.46546939650003,438.66,,712.3625,86.51,,180.9051926302,659.0538,693.6717,,,978.1115,790.878,859.0956000000001,98.74,623.0385,,208.56139404290002,160.2582051393,,749.2519999999997,1032.6680000000001,418.7743581602881,1140.8564,1013.58014666196,169.9180226026,794.6967,,1236.4068,1003.515,919.305,,,183.91410008830002,,1166.3946,1740.9408,1636.9368,2375.492,1672.6486
b0008,10650.8844,12350.2644,6293.07370945484,2942.7756484814777,6274.28,3585.6040000000003,5074.1184,15678.370385876102,7069.1,15145.2688196726,13765.0418709063,14517.3746180882,14355.930965816202,16126.043116261399,8571.198,7730.380499999998,15830.9044925849,7157.77,15864.4203962251,8342.292,16072.6503558217,14026.925,7460.43,16228.3836222735,16534.8521750236,12303.8108,12401.9052,16399.3602178334,16283.6874222897,12875.6756,14911.511999999999,12037.3836,7615.78,13458.4875,16650.6091302358,16855.694598744198,17354.628730269298,17757.4437215142,19008.108,18707.248,6330.6241616430125,15093.2368,11752.03532044917,17387.6789530524,19414.8927,17533.8002150346,18517.1088,28946.975,13871.175,17311.7320339427,17027.3384684774,17102.464391755802,15791.275505162801,13289.5494,35327.1936,27082.6396,33993.3705,23022.435
b0009,18.4842,8.3106,117.02063310369199,45.381685827384004,193.55,19.437,25.4904,,170.53,95.5617441968,111.61646464729999,,,90.2763222361,14.8185,55.3725,,166.25,,32.328,,60.5375,129.76,,,86.3981,23.1813,,,83.59110000000003,57.5784,29.8716,120.33,45.58950000000001,,72.72894275670001,58.286855556099994,94.73901759360001,14.238,10.15,155.744959132785,67.0098,119.49748906909998,,18.8895,,27.6316,19.5339,232.095,,,,,342.495,250.3296,818.8288000000001,389.6015,866.1794
b0014,55196.073,54620.1468,7653.056653798017,6077.177469159273,8084.44,9125.661999999998,10920.5408,12514.4650675623,7122.46,12638.8034621028,13364.9110035184,13294.367374825,13680.8980062544,12273.7654779301,12243.6663,16300.4795,11915.580077158898,6975.59,14443.104648742801,15916.259999999998,11865.9301778375,16548.375,6736.46,11611.9614913853,13895.7791442723,21397.6204,25369.4109,14996.416355290601,12156.9741295893,22844.2647,23362.9572,23887.762800000004,6760.19,20914.443000000007,11793.0833155618,12189.803448614199,15492.5055729103,14995.0624530675,28994.476000000002,25839.59,8224.606299546871,26419.526,14764.45320832475,14920.9559623599,50180.7873,14657.283911730901,27735.7624,67027.4861,27199.050000000007,14611.990882869699,14624.774134011499,13881.1338243733,13603.260743678702,41105.6658,74122.86720000001,91023.79,128506.2095,77822.8172
b0015,1054.5228000000004,769.5324,773.9608907046081,479.2394305240109,476.65,347.909,468.8632,528.8076183042,493.97,543.5836408741001,548.5066258588,581.1460255586001,519.9524851272,560.5939961979,472.30500000000006,568.2955,537.247857876,487.72,567.4688929239,698.0039999999998,557.5725665037,736.2125000000002,411.25,514.770902425,558.3225393873,960.6915,770.8782000000001,560.7961788887001,567.9097446306,943.4227,978.8196,777.0444,368.96,900.3690000000001,526.887671504,557.8499453076,621.9054654465,609.73612623,929.278,1082.5359999999996,686.519752235916,977.528,1311.2231295848046,572.0634181397,1237.2402,591.8593001135,895.6515999999998,2679.1690000000003,1122.4499999999996,549.9281248005001,558.9365207749,531.6721368437001,500.4076807671,1838.6583,2867.136,3097.5744,4322.639499999998,3289.4456000000005
b0023,14475.429000000002,14176.6038,8319.165549504949,4801.8089086952705,11040.77,7639.6815,9662.9624,12378.2656367951,12129.31,12700.625889295901,12883.702172969899,13665.533199818701,14371.386308713401,13526.4271078952,12295.7697,12495.577999999998,15223.150200574099,12714.71,17385.8062575537,14510.004,16281.8618812358,19910.9,15159.09,18028.9622684521,18338.0796470319,23193.3496,23382.527100000007,20106.7034443438,20196.5378817482,26127.8714,27821.6664,22898.9772,17037.64,25709.386500000004,20864.5529798674,21033.5642979351,21719.6310558611,21688.3268528982,37657.228,31029.656000000003,8292.273973766129,40956.5204,24437.289207801674,23844.5145412745,37076.8104,25964.4249453458,39953.3104,45139.5798,46832.805,26345.5924244447,27047.7206420236,28361.971282348502,28179.444782834504,78527.4129,85345.82400000001,121343.2456,160489.072,170919.91340000002
b0025,117.01260000000002,130.63680000000002,253.220776460512,146.866911706836,,83.6285,132.37120000000002,,,713.1979516988999,591.8357746831,,,,127.06170000000002,114.6435,,,,136.248,,176.2125,,,,165.7731,149.5497,,647.9438078726,191.5613,203.61,148.6716,,243.58050000000003,,649.5567366576,,,147.81199999999995,209.28599999999997,295.05379712184305,227.1574,563.5382623911198,,221.4408,,251.4076,265.75640000000004,138.78,,,744.4110373597999,,212.47080000000003,333.7344,248.8668,460.831,317.6696
