upid,GLC_BATCH_mu=0.6_H,FUM_BATCH_mu=0.55_H,PERSIST@8H_mu=0.02_H,STARVED@8H_mu=-0.005_H
P31119,15.0919241105,13.6770271546,8.1956303064,13.9076007405
P0ABD5,1476.1718853894,1444.469675595,1483.5185284525,1434.464298854
P0ABD8,1708.8195223244,1842.156762447,2036.6294322792,1919.5276834463
P24182,1334.2738502547,1149.6268644954,1562.8955008628,1260.2034900889
P0A9Q5,971.4314418061,830.0567989207,1021.8342506305,841.1148014672
P0A9G6,11403.8805704645,45004.7439537123,8041.8651168924,34438.8538554172
P08997,3702.3466005172,6745.8547611434,2269.5178143017,5607.6888992732
P0AFG8,3742.9535501724,3406.2053104029,4248.9828715188,4034.5882277032
P06959,3749.2287231735,3429.9034611801,4424.7328366027,3787.1161919106
P11071,10.8075205392,31.9878913456,3.4196103193,22.0750145449
P0A6A3,1795.5491134412,1928.7314246712,1960.801200477,1641.5432785595
P25516,501.0320527675,1087.9378114614,1650.8973890717,1346.4083405918
P36683,4154.0617402044,10603.336874626,2198.8604121922,8653.9719700594
P0A6A8,12366.9771382319,12263.565585351,15447.7710203741,18294.4227584121
P24224,70.9938271867,72.9947999464,63.6860179599,83.2688793896
P37623,111.6299515045,102.3421003199,140.2599325157,57.021900602
P0AE06,1458.5656267296,1274.1490876052,1799.4210235242,1489.7245529732
P31224,401.2455800948,420.1231450565,597.3642540301,491.2889038282
P27550,772.8861489041,10121.5784330928,4940.3840601921,9155.0842736961
P32705,64.3597780388,1901.8186740223,340.3511797369,1246.9781919887
P22333,223.5153689539,247.1319959361,216.8316580712,217.1857827263
P23477,28.0135325697,26.2212678554,91.0047219895,52.1495958366
P31441,28.2943352126,53.5912705611,22.2248743166,38.4904160685
P0A9Q7,3266.1932124613,2353.727592765,5337.3936717788,2900.2015929408
P39451,29.0495606458,30.5747150625,2.0158224348,16.1037131188
P69441,2912.0668614199,3302.0011892478,2408.6355454413,3294.1715468108
P0ACK2,98.8525407358,100.3321594243,67.1576127337,116.8588419145
P19926,512.5883900023,1431.0661581066,2871.0702311099,2284.2562942008
P0AE08,17353.5178744053,22508.4763521027,2821.4601870712,13441.5710473878
P35340,1352.1849822942,1365.0363872664,281.2986874643,749.3431861305
P33224,4.6340290024,2.8344300632,32.2266821186,13.2942775412
P00957,1868.2344243061,1406.8771377732,1795.724229931,1461.1463112965
P25553,2089.4574153609,18876.5534449936,4610.9064750354,15799.4885200253
P37685,210.9476173814,1533.6677921558,5555.92922406,2686.5327658192
P04395,10.8567863631,9.2635405915,17.5406213626,9.836885095
P0ACN4,293.3474416064,257.137532616,359.942360406,285.6249499937
P39265,32.5330787727,105.8847390812,189.7868443493,128.6727063319
P36548,108.7392792879,106.6072538051,54.1456890709,63.634358922
P26365,114.3009128045,85.1111632867,106.833163246,45.3226421454
P75820,62.1778794987,59.2918989545,90.7875344139,92.421588652
P0AE12,578.6422921737,488.3989288037,546.4125132603,535.6096508282
P00811,41.8031100224,32.151509249,25.6602908896,36.1393363843
P13016,57.8414269569,62.1727836403,34.0932539348,43.6426262873
P0AE14,49.3105615748,70.2023177834,51.5380351583,72.8984326286
P0AD70,40.6606591578,30.2306146388,17.7039740668,6.9849573937
P69681,104.3117128198,0.6659370585,175.5477609184,0.0832127538
P26612,137.6338046658,172.1024806999,143.7652032343,138.9238878045
P77570,67.5111752462,79.8941325166,30.2812067501,76.3523696301
P0A962,470.2043796435,447.3698505831,364.8712147327,445.4837431949
P00805,1.2008373593,0.1065794186,24.3838736531,11.3642018709
P62672,55.5706996095,66.9677365319,183.9193178962,57.2584617453
P05637,19.7576661967,18.5046554828,28.1635186988,35.8252021284
P0AE22,28.1426623607,110.3036140036,39.5981691053,156.7474831828
P69503,1091.4638856127,820.6679076993,904.4626931912,772.1025555156
P02924,90.5085447887,430.5426532145,1737.7002295425,904.9928560122
P0AAF3,5.2271547233,2.8497016462,57.933341178,26.7403763566
P0A9Q1,1620.7803800656,2240.0548388422,3948.1239222472,3089.374430452
P0AEC3,42.9132124172,73.8949316426,57.0943613421,44.4487097251
P0A6C5,488.9509175445,293.5155171914,107.9096710523,184.3574315099
P0A6C8,2380.4338324779,1469.4055115438,1257.238512952,1224.8391195357
P11446,1311.8487158844,848.434477261,686.4406682016,727.9865669554
P18335,3028.5822911211,1581.3330811361,2443.3638174474,1637.9212340627
P23908,2228.5082566425,1060.6001382873,2205.7379373299,1066.7284600854
P06960,565.1561339018,332.3603667057,76.3910653432,172.7457253995
P0A6E4,4706.5580836901,2344.5134758633,2918.1603218889,2407.4727083157
P11447,1660.9018120196,877.7763393568,905.0645212957,819.9386946845
P04391,895.6722475041,639.6259466353,101.2637841658,393.695484631
P0A6D0,383.2915812335,378.0853220121,653.6063106783,366.3153436365
P11875,595.674862599,490.2642260846,531.0961736644,561.0852886665
P09551,2531.3676604779,9399.2997875323,9149.5796816292,8931.0000411556
P77398,11.3543807624,18.7658279373,2.0830743421,6.2912081236
P77757,9.3576940784,12.0778087282,9.78454991,8.9839826279
P0A6D3,1434.4580621727,872.681915444,1038.6183741682,771.541503565
P07639,647.6404615244,628.294042851,392.3804987085,534.1342279776
P12008,596.5722753271,598.064211034,667.2559523339,553.3286636507
P05194,474.3130904975,396.235028688,304.6611808109,307.2596939783
P15770,279.3936602985,231.3684311842,255.8360399482,218.9023825644
P00888,1328.9141068321,1001.002403456,148.3573760178,287.9684481363
P0AB91,4789.9024256204,2371.3189274158,3620.9520705074,2383.6093079481
P00887,373.1805913039,209.1862257244,322.7382306386,194.0952452607
P0A6D7,1202.4170625099,953.1398700297,623.2198451236,730.8476096913
P0A6E1,545.2538418507,741.1941294111,614.5543737888,532.8739930233
P0AE28,236.0373530475,371.6430773427,98.9184632378,139.8991414351
P15993,450.4443104775,642.0456235877,346.7008203724,314.1216793946
P0AB96,11.9414014132,27.8347755374,12.2651484531,38.0973631093
P30859,1381.8669280301,1950.3183445734,2050.5100182428,1937.0204787537
P30860,2927.2209549868,2071.819468833,3443.8120697522,1995.1477089392
P0AAF6,361.563587009,326.8664702592,472.9319388252,355.0465805259
P0AE34,84.3982076992,85.2028573292,106.2911331486,83.2346794382
P0A9Q9,7210.4463415971,4075.2706961445,3622.4769148647,3414.1602037378
P28249,76.1872605594,95.3035661429,105.1874303972,109.1055444175
P00963,563.0570654676,324.7095460136,49.7034164142,79.5541928874
