,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
b3988,20.47,4.82,20.64,10.69,8.87,3.1,10.83,33.45,8.68,1.74,8.99,1.47,6.76,12.08,20.91,13.86,6.14,6.27,16.15,22.87,16.45,9.29
b3987,18.15,2.91,14.56,10.33,6.12,5.08,7.44,25.11,8.28,2.75,8.53,1.24,14.42,11.18,17.48,10.51,5.93,4.27,13.51,19.75,13.6,7.77
b0118,17.23,0.96,3.98,8.11,2.63,5.71,2.22,4.57,4.97,3.1,5.24,0.93,3.93,10.04,16.6,9.57,4.47,21.78,3.16,2.07,4.21,3.25
b2557,9.31,5.12,8.3,1.02,3.24,6.88,4.74,4.28,8.93,4.43,9.08,3.3,7.01,4.02,12.97,11.38,1.78,7.88,1.22,7.69,2.96,6.2
b3212,6.3,4.23,9.76,21.93,6.04,2.45,9.79,23.57,7.97,5.28,5.38,3.14,17.44,3.98,28.41,17.39,7.84,20.05,17.71,22.36,10.69,8.91
b0114,22.23,2.34,14.36,9.05,2.39,2.18,9.61,22.87,8.33,3.68,9.07,1.24,4.58,9.58,19.84,9.78,8.08,7.27,13.71,20.08,6.64,13.13
b1241,23.53,4.18,10.32,11.05,6.4,2.82,9.27,27.11,14.63,5.56,10.67,3.89,6.36,7.09,16.8,10.42,13.96,3.19,18.77,20.21,29.64,6.36
b3339,9.45,2.95,3.44,2.92,1.94,3.2,4.7,5.53,5.53,1.56,3.3,2.74,5.04,1.78,1.93,7.95,6.29,0.71,2.96,3.21,3.92,3.95
b3829,6.49,3.17,8.99,8.05,4.71,2.2,1.66,2.46,3.61,4.33,3.17,2.59,1.71,12.89,11.51,13.13,5.26,1.05,5.26,16.24,14.8,3.17
b4143,4.09,1.12,3.82,1.93,5.41,3.06,3.64,5.82,1.44,2.95,2.31,4.43,1.99,1.35,2.09,6.7,6.65,7.86,3.16,3.13,6.32,1.36
b0033,4.19,2.21,27.18,10.74,5.57,3.08,0.5,12.5,6.92,3.24,9.92,1.31,6.42,5.17,20.39,9.35,2.92,6.82,6.68,15.91,4.01,2.94
b0903,11.03,2.71,13.02,14.64,7.44,4.78,6.2,14.16,9.31,4.56,8.59,3.28,4.7,11.53,17.16,10.03,8.3,2.45,10.74,10.76,11.16,2.2
b0014,7.9,3.04,2.54,2.21,3.9,3.35,3.41,8.32,3.01,1.06,4.59,4.56,4.64,6.58,11.05,8.03,8.88,6.02,0.94,5.3,3.59,0.32
b3168,18.73,4.67,13.64,12.07,2.27,1.89,4.76,19.58,8.03,4.29,8.6,3.12,9.04,11.09,16.58,11.63,4.13,1.52,9.7,15.6,11.8,6.83
b3774,10.2,3.33,6.43,6.0,0.76,4.05,1.31,7.68,13.83,2.4,5.7,1.81,5.92,6.06,23.87,6.51,3.53,7.26,2.63,10.75,2.56,3.52
b3956,6.6,6.56,15.28,20.43,4.02,4.41,11.5,30.48,12.88,1.91,8.28,3.04,14.17,9.07,20.84,23.19,6.57,7.03,12.99,20.26,14.27,19.4
b2697,6.35,2.42,9.86,8.32,2.94,9.89,2.23,8.86,9.84,4.94,6.8,2.61,3.85,3.35,14.37,17.74,5.88,2.61,7.17,13.97,2.53,6.96
b3340,9.99,0.83,3.18,4.89,2.57,1.41,1.15,7.92,4.17,3.76,4.83,2.53,4.56,0.98,10.11,6.65,2.53,3.11,2.53,2.01,3.34,2.67
b3559,5.13,0.96,4.09,8.44,3.64,2.36,1.84,4.4,3.91,4.38,12.55,4.96,9.2,4.69,12.44,4.17,2.32,3.12,9.36,6.76,4.83,2.24
b2463,31.13,5.63,17.86,9.51,5.57,8.51,8.19,32.45,12.72,3.01,7.86,1.0,14.82,9.26,23.69,24.39,5.72,9.0,14.45,17.13,11.31,6.21
b0911,13.24,1.28,5.54,1.98,1.6,0.78,3.47,0.74,2.83,4.02,0.98,3.49,1.62,6.89,18.22,6.98,5.94,12.26,4.68,2.39,3.33,4.57
b0642,10.22,3.38,6.58,3.59,2.32,4.21,2.74,3.84,4.91,5.32,9.71,3.08,10.28,7.16,17.32,0.74,8.23,1.85,10.82,10.53,5.5,1.68
b0002,4.35,4.47,8.9,17.17,9.76,1.24,10.22,26.72,19.93,2.09,8.6,4.89,7.22,9.96,21.73,11.77,3.74,10.32,13.71,13.8,7.56,18.42
b0726,12.42,3.29,10.2,16.78,4.78,8.29,6.14,14.91,13.05,3.37,8.2,1.86,8.27,4.13,8.08,12.77,11.55,3.18,11.08,16.93,2.93,5.21
b0026,4.13,0.53,3.85,1.86,3.62,3.36,1.62,8.52,2.52,4.57,6.65,4.72,5.29,7.74,3.42,8.99,5.82,2.05,4.12,5.99,6.13,3.93
b1415,31.14,3.77,7.79,1.8,6.57,8.84,1.48,2.89,5.29,2.88,7.56,1.41,6.34,10.97,12.6,5.75,1.41,16.82,4.26,6.4,15.85,5.09
b0098,19.08,2.94,16.88,11.51,5.8,8.24,5.46,20.06,8.83,5.1,12.38,2.36,13.35,17.23,31.22,7.56,4.55,7.6,14.94,18.65,8.35,12.23
b1866,7.49,3.3,9.62,7.11,5.34,2.03,4.62,7.29,4.3,5.76,5.47,1.74,5.03,12.05,19.12,20.2,4.11,2.82,2.91,7.65,3.17,5.16
b1713,15.07,2.87,12.98,7.27,3.16,5.23,2.96,17.63,12.09,3.0,5.38,3.94,2.1,9.9,19.51,9.62,2.48,2.47,10.69,13.11,17.72,6.74
b4258,8.92,1.43,9.66,7.4,2.68,5.92,2.71,3.4,4.97,1.22,5.14,1.18,9.79,16.39,17.87,16.19,1.47,3.85,4.99,0.61,3.51,8.19
b3544,63.77,5.91,5.93,6.44,0.85,7.44,2.48,3.93,7.03,2.38,0.59,4.15,1.16,2.77,1.95,11.11,1.92,0.67,5.3,4.72,3.69,4.88
b0115,13.4,2.83,7.92,4.27,3.24,3.28,3.33,12.12,2.06,7.37,5.57,4.79,8.05,7.43,4.07,12.1,7.74,7.36,5.18,19.83,6.29,8.42
b3942,26.86,1.67,9.69,6.13,5.92,3.59,9.36,3.2,2.82,4.72,5.02,3.54,28.58,22.3,21.48,7.2,10.65,7.52,0.88,1.74,9.13,4.78
b2231,17.74,5.3,16.02,11.1,10.94,13.42,16.76,32.88,12.5,8.74,6.96,7.94,6.24,14.16,22.81,20.69,4.08,1.76,18.68,13.7,8.79,10.24
b1136,10.24,3.83,0.81,0.73,4.87,10.28,1.71,3.57,1.06,4.26,2.69,1.34,10.36,10.31,9.6,15.91,1.07,5.03,4.77,3.26,8.26,5.54
b3732,4.61,1.07,2.97,1.74,4.57,1.7,0.64,1.22,1.21,3.5,2.69,2.36,3.13,2.16,18.28,5.14,2.56,7.67,3.39,4.0,3.48,2.94
b0932,8.79,0.82,4.48,3.09,6.9,1.94,3.27,8.36,1.55,1.72,3.46,0.86,6.86,9.4,18.05,6.43,2.75,2.93,8.99,7.2,6.18,5.2
b1676,2.76,4.93,2.24,6.57,5.93,10.38,2.69,6.29,4.46,5.79,2.68,5.53,2.96,6.56,14.7,10.75,3.26,6.58,8.02,1.13,11.96,1.66
b4015,51.2,2.55,4.44,5.55,2.18,4.36,4.45,3.03,3.17,0.64,2.51,3.3,10.02,9.68,8.64,8.71,6.64,5.56,4.37,6.43,13.19,8.77
b1612,10.81,0.76,1.42,1.36,6.62,5.47,0.82,6.08,5.4,1.54,4.62,3.98,7.67,6.23,15.63,13.49,4.46,7.76,3.97,8.61,5.76,0.79
b1014,58.63,14.4,20.57,19.74,1.48,37.84,10.9,23.41,6.11,3.13,32.98,21.31,14.91,35.86,13.89,16.77,4.38,9.54,10.38,15.99,2.59,8.51
b1732,52.38,6.56,10.6,12.11,7.53,1.02,6.11,12.72,18.8,5.37,4.76,3.22,1.83,4.72,3.95,16.25,8.34,6.79,3.72,5.86,38.53,15.8
b0473,10.26,1.86,1.17,4.51,1.61,3.01,2.88,3.08,0.27,2.53,6.13,4.25,6.29,5.7,6.67,14.27,8.06,4.14,1.87,7.18,5.11,1.51
b0170,14.03,0.65,2.92,3.67,8.08,9.24,2.13,6.13,4.3,3.8,1.9,2.96,3.26,2.59,8.14,4.82,4.3,5.64,3.92,4.38,7.58,1.46
b2416,7.28,3.95,2.76,8.34,4.36,5.65,1.59,2.74,2.57,2.76,2.96,4.77,4.29,2.03,12.82,6.2,2.33,3.71,3.28,3.0,10.8,1.87
b3172,11.39,2.73,6.74,7.39,7.0,6.81,0.81,8.04,1.97,2.37,3.07,1.97,5.84,8.58,15.44,4.17,5.85,3.08,2.78,5.28,10.08,3.65
b3926,14.52,6.58,15.13,2.49,4.55,5.76,1.26,17.47,2.35,1.37,6.27,1.93,5.23,6.95,64.99,8.71,3.49,16.15,8.65,10.01,28.74,30.64
b2297,19.39,5.13,14.27,15.76,4.88,2.78,6.97,29.25,8.09,3.35,11.44,3.2,6.17,8.59,13.62,13.84,6.31,8.8,15.77,16.33,12.54,4.55
b0436,10.03,2.62,5.03,1.44,8.94,3.74,5.96,3.17,5.48,5.36,6.68,7.94,6.72,10.12,15.4,6.81,7.37,12.12,2.95,7.27,11.84,3.67
b0177,6.31,3.86,5.26,4.81,0.95,4.85,2.68,7.44,1.98,1.95,1.1,1.7,5.28,5.44,1.94,3.84,1.75,4.2,0.95,1.05,0.93,3.41
b3164,17.44,5.22,16.3,17.03,7.72,9.39,8.54,27.8,5.41,5.04,9.55,6.46,1.25,9.71,18.87,10.16,6.81,5.49,16.26,17.24,18.14,11.9
